Unnamed: 0,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
237661,44488,58,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17241.37931,17241.37931,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,905,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
431643,55628,88,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,136363.6364,22727.27273,88.0,0.0,88,88,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11363.63636,11363.63636,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,114,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
209487,443,10587097,8,7,1004,1209,517,0,125.5,210.0530545,1021,0,172.7142857,378.4264412,209.0280272,1.416818983,756221.2143,2661447.049,9997480,1,10600000,1512201.571,3743484.082,9997482,91,10500000,1751360.333,4044001.315,9999165,1,0,0,0,0,264,232,0.755636791,0.661182192,0,1021,138.3125,282.4681029,79788.22917,0,0,0,1,0,0,0,0,0,147.5333333,125.5,172.7142857,264,0,0,0,0,0,0,8,1004,7,1209,29200,9,3,32,587931.0,0.0,587931,587931,9997480.0,0.0,9997480,9997480,Infiltration
280872,443,115739880,32,41,1069,35987,517,0,33.40625,117.5644941,1418,0,877.7317073,686.3955501,320.166221,0.630724691,1607498.333,3639523.778,10000000,1,116000000,3733544.516,4837843.226,10000000,3,111000000,2769334.8,4539217.837,10000000,1,0,0,0,0,1032,1320,0.276482056,0.354242634,0,1418,500.7567568,665.599098,443022.1592,0,0,0,1,0,0,0,0,1,507.6164384,33.40625,877.7317073,1032,0,0,0,0,0,0,32,1069,41,35987,29200,349,4,32,60371.45455,78128.80129,295938,36656,10000000.0,4104.694795,10000000,9997590,Infiltration
163451,22,141,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,85106.38298,14184.39716,141.0,0.0,141,141,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,7092.198582,7092.198582,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,245,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
39147,53,201,2,2,78,206,39,39,39.0,0.0,103,103,103.0,0.0,1412935.323,19900.49751,67.0,109.9863628,194,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,9950.248756,9950.248756,39,103,64.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,80.75,39.0,103.0,40,0,0,0,0,0,0,2,78,2,206,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
117206,53,930,1,1,40,102,40,40,40.0,0.0,102,102,102.0,0.0,152688.172,2150.537634,930.0,0.0,930,930,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,1075.268817,1075.268817,40,102,60.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,91.0,40.0,102.0,20,0,0,0,0,0,0,1,40,1,102,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
32623,80,115498705,16,14,435,746,435,0,27.1875,108.75,746,0,53.28571429,199.3768865,10.22522287,0.259743172,3982713.966,4877188.543,10000000,47,115000000,7699913.667,4177826.17,10000000,9657,111000000,8505710.846,3760055.428,10000000,20934,0,0,0,0,520,456,0.138529692,0.12121348,0,746,38.09677419,152.8341923,23358.29032,0,0,0,1,0,0,0,0,0,39.36666667,27.1875,53.28571429,520,0,0,0,0,0,0,16,435,14,746,29200,340,1,32,42580.18182,20308.82874,103808,36240,10000000.0,4077.047497,10000000,9999632,Infiltration
420885,443,5893601,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,30.71127482,1.018053309,1178720.2,2581857.664,5797093,3,5893601,1473400.25,2882788.667,5797093,3,0,0.0,0.0,0,0,1,0,0,0,100,20,0.848377758,0.169675552,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,254,385,4,20,93534.0,0.0,93534,93534,5797093.0,0.0,5797093,5797093,Infiltration
22403,123,36887,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,2602.542901,54.21964378,36887.0,0.0,36887,36887,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27.10982189,27.10982189,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
